date,batter,pitcher,bvp_pa,bvp_avg,fd_pts,baseline,rel,bucket
2026-05-28,624413,571578,65,0.352,3.0,10.43,-7.43,GOOD
2026-05-28,621493,571578,22,0.368,15.0,9.6,5.4,GOOD
2026-06-04,668939,678394,23,0.238,6.5,10.97,-4.47,MID
2026-06-04,683002,678394,28,0.292,9.2,10.18,-0.98,MID
2026-06-07,668939,592332,26,0.16,3.0,11.76,-8.76,BAD
2026-06-07,683002,592332,22,0.143,0.0,10.23,-10.23,BAD
2026-06-07,621493,592332,18,0.389,22.2,9.65,12.55,GOOD
2026-06-11,621493,693433,19,0.056,15.4,9.91,5.49,BAD
2026-06-11,665750,693433,17,0.188,0.0,9.03,-9.03,BAD
2026-06-16,683002,669302,15,0.071,0.0,10.11,-10.11,BAD
2026-06-16,621493,669302,32,0.286,9.2,9.78,-0.58,MID
2026-06-16,665750,669302,24,0.091,0.0,8.84,-8.84,BAD
2026-06-17,668939,669923,22,0.182,0.0,11.33,-11.33,BAD
2026-06-17,683002,669923,22,0.429,22.2,9.97,12.23,GOOD
2026-06-17,621493,669923,36,0.229,3.0,9.77,-6.77,MID
2026-06-17,665750,669923,21,0.19,12.5,8.7,3.8,BAD
2026-06-18,621493,693433,19,0.056,0.0,9.68,-9.68,BAD
2026-06-18,665750,693433,17,0.188,9.0,8.76,0.24,BAD
2026-06-28,668939,641793,21,0.263,9.2,10.87,-1.67,MID
2026-06-28,683002,641793,32,0.276,0.0,10.04,-10.04,MID
2026-06-28,621493,641793,15,0.357,3.0,9.71,-6.71,GOOD
2026-06-30,624413,607200,35,0.346,9.5,11.46,-1.96,GOOD
2026-07-04,624413,668881,17,0.25,24.7,11.24,13.46,MID
2026-05-13,624413,608331,53,0.277,9.5,10.4,-0.9,MID
2026-06-10,683002,669923,22,0.429,6.0,9.94,-3.94,GOOD
2026-06-10,621493,669923,36,0.229,12.2,9.88,2.32,MID
2026-06-10,665750,669923,21,0.19,27.9,8.7,19.2,BAD
2026-04-19,608369,693433,18,0.5,6.2,10.19,-3.99,GOOD
2026-04-19,669701,693433,17,0.294,3.0,4.79,-1.79,MID
2026-04-24,608369,622663,16,0.133,12.2,10.39,1.81,BAD
2026-04-24,607043,622663,19,0.313,0.0,10.15,-10.15,GOOD
2026-04-24,669394,622663,25,0.318,0.0,7.58,-7.58,GOOD
2026-04-24,592626,622663,15,0.429,3.0,6.5,-3.5,GOOD
2026-04-27,607043,608331,43,0.121,3.0,9.11,-6.11,BAD
2026-05-01,608369,656427,15,0.077,12.0,9.37,2.63,BAD
2026-05-09,607043,665795,26,0.316,3.0,8.52,-5.52,GOOD
2026-05-10,608369,592791,18,0.25,3.0,8.78,-5.78,MID
2026-05-10,607043,592791,15,0.231,0.0,8.35,-8.35,MID
2026-05-11,607043,647336,18,0.294,3.0,8.1,-5.1,MID
2026-05-12,608369,668678,28,0.259,6.7,8.45,-1.75,MID
2026-05-12,607043,668678,16,0.2,18.2,7.95,10.25,BAD
2026-05-17,592626,663567,22,0.25,9.2,6.19,3.01,MID
2026-05-20,607043,607536,17,0.353,3.0,8.41,-5.41,GOOD
2026-06-03,607043,669467,18,0.111,3.0,8.41,-5.41,BAD
2026-06-06,608369,676440,15,0.286,3.0,8.54,-5.54,MID
2026-06-11,608369,608379,28,0.407,24.9,8.22,16.68,GOOD
2026-06-12,607043,543243,18,0.313,0.0,8.24,-8.24,GOOD
2026-06-12,592626,543243,15,0.143,9.2,7.9,1.3,BAD
2026-07-02,673962,664285,17,0.375,25.2,9.9,15.3,GOOD
2026-07-02,669394,664285,21,0.2,0.0,9.07,-9.07,BAD
2026-07-02,677649,664285,31,0.207,13.0,8.9,4.1,MID
2026-07-04,592626,656427,28,0.308,3.0,8.38,-5.38,GOOD
2026-07-09,677649,672282,20,0.1,22.2,8.86,13.34,BAD
2026-07-10,694671,686613,20,0.067,24.9,12.06,12.84,BAD
2026-07-10,673962,686613,17,0.188,12.4,10.03,2.37,BAD
2026-06-13,607043,624133,31,0.148,0.0,8.11,-8.11,BAD
2026-06-20,607043,621111,15,0.231,6.0,8.13,-2.13,MID
2026-06-20,592626,621111,16,0.214,0.0,7.77,-7.77,MID
2026-06-23,607043,645261,46,0.125,31.2,8.3,22.9,BAD
2026-06-25,608369,592332,29,0.458,9.2,8.62,0.58,GOOD
2026-06-25,592626,592332,21,0.2,30.9,7.96,22.94,BAD
2026-06-26,607043,571578,51,0.292,12.7,8.42,4.28,MID
2026-05-24,677649,672282,20,0.1,0.0,9.78,-9.78,BAD
2026-05-30,592626,607625,25,0.087,18.7,7.6,11.1,BAD
2026-05-31,592626,608379,32,0.259,6.0,7.82,-1.82,MID
2026-04-21,553993,571927,15,0.357,0.0,8.45,-8.45,GOOD
2026-05-01,682829,656605,25,0.182,3.5,15.95,-12.45,BAD
2026-05-01,668715,656605,29,0.333,6.0,9.52,-3.52,GOOD
2026-05-01,670770,656605,33,0.138,12.2,7.93,4.27,BAD
2026-05-05,682829,592791,18,0.294,0.0,14.85,-14.85,MID
2026-05-05,668715,592791,20,0.25,3.0,8.95,-5.95,MID
2026-05-05,670770,592791,24,0.182,0.0,7.77,-7.77,BAD
2026-05-06,682829,607067,23,0.318,10.5,14.37,-3.87,GOOD
2026-05-06,668715,607067,25,0.273,18.7,8.75,9.95,MID
2026-05-06,680574,607067,18,0.313,24.9,7.87,17.03,GOOD
2026-05-06,670770,607067,23,0.182,9.2,7.49,1.71,BAD
2026-05-12,682829,571945,19,0.353,9.2,13.94,-4.74,GOOD
2026-05-12,668715,571945,20,0.389,6.2,9.18,-2.98,GOOD
2026-05-12,670770,571945,23,0.286,9.0,7.16,1.84,MID
2026-05-13,682829,663623,15,0.357,12.2,13.81,-1.61,GOOD
2026-05-15,663993,676440,15,0.5,3.0,9.37,-6.37,GOOD
2026-05-26,668715,656849,15,0.2,9.2,9.9,-0.7,BAD
2026-06-26,682829,694973,17,0.267,3.5,12.56,-9.06,MID
2026-06-26,668715,694973,17,0.294,9.7,9.85,-0.15,MID
2026-06-28,682829,656605,25,0.182,9.2,12.24,-3.04,BAD
2026-06-28,668715,656605,29,0.333,0.0,9.8,-9.8,GOOD
2026-06-28,553993,656605,24,0.118,3.0,7.87,-4.87,BAD
2026-07-07,663993,554430,19,0.235,0.0,7.83,-7.83,MID
2026-06-09,663993,608337,22,0.25,6.0,9.16,-3.16,MID
2026-04-29,665833,669467,16,0.154,6.5,16.14,-9.64,BAD
2026-04-29,668804,669467,26,0.154,3.0,11.24,-8.24,BAD
2026-05-10,668804,641816,20,0.333,0.0,11.75,-11.75,GOOD
2026-05-16,668804,650911,19,0.333,9.0,11.3,-2.3,GOOD
2026-05-16,542303,650911,21,0.25,0.0,8.35,-8.35,MID
2026-04-23,542303,594798,47,0.217,0.0,8.35,-8.35,MID
2026-04-24,668804,605540,29,0.13,6.0,11.73,-5.73,BAD
2026-05-01,664040,663903,23,0.0,3.0,11.66,-8.66,BAD
2026-05-01,668804,663903,22,0.316,37.4,11.45,25.95,GOOD
2026-05-07,665833,668678,15,0.154,12.0,14.45,-2.45,BAD
2026-05-07,668804,668678,21,0.118,6.2,12.27,-6.07,BAD
2026-05-07,656811,668678,16,0.467,6.5,9.91,-3.41,GOOD
2026-05-12,664040,547179,15,0.231,9.5,12.72,-3.22,MID
2026-05-12,668804,547179,21,0.176,9.5,11.43,-1.93,BAD
2026-05-13,668804,500779,24,0.261,6.5,11.37,-4.87,MID
2026-05-15,668804,605400,23,0.273,15.2,11.21,3.99,MID
2026-05-17,664040,554430,23,0.25,6.0,12.43,-6.43,MID
2026-05-17,668804,554430,19,0.222,0.0,11.25,-11.25,MID
2026-05-19,665833,669461,16,0.214,12.5,14.39,-1.89,MID
2026-05-19,668804,669461,15,0.333,19.2,10.98,8.22,GOOD
2026-05-22,668804,592332,15,0.214,3.5,11.04,-7.54,MID
2026-05-23,668804,571578,27,0.304,12.2,10.88,1.32,GOOD
2026-05-24,664040,656302,16,0.357,3.0,12.11,-9.11,GOOD
2026-05-27,665833,592791,19,0.056,0.0,13.53,-13.53,BAD
2026-05-27,664040,592791,20,0.294,25.7,11.92,13.78,MID
2026-05-27,668804,592791,27,0.32,12.0,11.06,0.94,GOOD
2026-05-28,668804,607067,23,0.455,27.7,11.08,16.62,GOOD
2026-05-28,693304,607067,15,0.385,0.0,7.9,-7.9,GOOD
2026-06-12,664040,645261,24,0.35,18.7,11.76,6.94,GOOD
2026-06-12,668804,645261,20,0.118,3.0,11.54,-8.54,BAD
2026-06-17,668804,650644,23,0.318,19.2,12.14,7.06,GOOD
2026-06-21,668804,547179,21,0.176,34.9,12.03,22.87,BAD
2026-06-21,664040,547179,15,0.231,6.2,11.56,-5.36,MID
2026-06-23,656811,669923,18,0.235,3.0,9.51,-6.51,MID
2026-06-09,668804,641778,23,0.273,27.9,11.45,16.45,MID
2026-06-25,656811,682243,15,0.133,6.5,9.87,-3.37,BAD
2026-06-28,668804,663903,22,0.316,9.2,12.15,-2.95,GOOD
2026-06-28,664040,663903,23,0.0,3.0,11.74,-8.74,BAD
2026-06-29,668804,605400,23,0.273,15.4,12.11,3.29,MID
2026-06-30,668804,650911,19,0.333,0.0,12.15,-12.15,GOOD
2026-07-01,668804,554430,19,0.222,6.5,12.0,-5.5,MID
2026-07-01,664040,554430,23,0.25,6.0,11.51,-5.51,MID
2026-04-23,656941,665795,25,0.143,3.0,12.77,-9.77,BAD
2026-04-23,607208,665795,17,0.214,3.0,9.77,-6.77,MID
2026-04-23,669016,665795,17,0.429,46.9,8.24,38.66,GOOD
2026-04-25,607208,693821,15,0.25,9.2,10.33,-1.13,MID
2026-04-26,547180,519242,15,0.133,0.0,13.31,-13.31,BAD
2026-04-26,656941,519242,21,0.263,25.2,11.99,13.21,MID
2026-04-26,607208,519242,21,0.316,3.0,10.28,-7.28,GOOD
2026-04-28,656941,641816,29,0.3,9.2,12.57,-3.37,GOOD
2026-04-28,607208,641816,20,0.421,21.9,9.96,11.94,GOOD
